Question,Answer
"An employee comes in to work and they are extremely distraught and stressed due to personal matters outside of work. While at work, the employee has an anxiety attack and faints. Would this be considered an OSHA recordable?","Injuries and illnesses that result solely from non-work-related events or exposures are not recordable under the exception at 1904.5(b)(2)(ii). Mental illnesses, such as anxiety disorder, are recordable only if the employee voluntarily provides the employer with an opinion from a physician or other licensed health care professional with appropriate training and experience (psychiatrist, psychologist, psychiatric nurse practitioner, etc.) stating that the employee has a mental illness that is work-related, and the case meets one or more of the general recording criteria."
An employee died of a heart attack during working hours. He died while sitting in the lobby talking with a co-worker. The employee has a history of hypertension and high blood pressure. Is this case recordable?,"If the case is wholly caused by non-work factors, then it is not work-related and will not be recorded in the OSHA records. If work contributed to the illness in some way, for example the work is strenuous or the work environment is very hot, then it would be work-related and recordable."
"An employee exited the building, and slipped and fell (suffering a sprained knee) while clearing snow from their personal vehicle prior to exiting the parking lot. Does the act of clearing snow qualify for the exception listed in 29 CFR 1905(b)(2)(v) for activities that are personal tasks unrelated to their employment?","Clearing the snow off his personal vehicle in the company parking lot does not meet the personal tasks exemption. The company parking lot, where the injury occurred, is a part of the employer's establishment. Because none of the work-related exceptions under 1904.5(b)(2) apply to the event, the case is work related."
"An employee experienced an injury or illness in the work environment before they had ""clocked in"" for the day. Is the case considered work related even if that employee was not officially ""on the clock"" for pay purposes?","Yes. For purposes of OSHA recordkeeping injuries and illnesses occurring in the work environment are considered work-related. Punching in and out with a time clock (or signing in and out) does not affect the outcome for determining work-relatedness. If the employee experienced a work-related injury or illness, and it meets one or more of the general recording criteria under section 1904.7, it must be entered on the employer's OSHA 300 log."
"An employee finishes his scheduled work day at 5 PM and clocks out. The employee leaves the employer's building and walks on a publically owned sidewalk towards his car. The car is parked in a church parking lot, where the church has agreed to allow the employees to park. While approaching his car, the employee trips and fractures his ankle, requiring medical treatment beyond first aid. Would this be considered an OSHA recordable injury?","No, this injury is not work-related. A parking area where the employer does not have control, such as the church parking lot described in your question, would not be considered part of the employer's establishment, and therefore not part of the work environment."
"An employee from FL traveled to Las Vegas for work. He went out to dinner, slipped on the wet floor at the restaurant, fell and had a concussion and closed head injury. He was taken by ambulance to the nearest hospital. He did receive medical treatment and was out for 2 days. Should this be recorded?","Injuries and illnesses that occur while an employee is on travel status are work-related if, at the time of the injury or illness, the employee was engaged in work activities ""in the interest of the employer."" Examples of such activities include travel to and from customer contacts, conducting job tasks, and entertaining or being entertained to transact, discuss, or promote business (work-related entrainment includes only entertainment activities being engaged in at the direction of the employer). If attending the dinner was a directed work activity, the case is work related and recordable. If it was merely his personal dinner, the case is not work related and therefore not recordable."
An employee gets a minor laceration but refuses first-aid treatment. The laceration later becomes infected and requires prescription antibiotics. Can I leave this case off my log because he refused initial treatment that would have prevented the infection?,"No. Even if the employee refused first aid treatment for the work-related injury , the case must be recorded once it required medical treatment beyond first aid."
An employee got something is his eye (dirt/dust) during the workday. At the end of the day the employee went home. During the evening the employee's eye became more irritated and he decided to seek medical attention the next morning before reporting to work. The doctor flushed the eye with saline solution and sent to employee back to work. The employee was away from work for 3 hours. Does this absence make the case recordable?,No. Time spent seeking medical treatment is not counted as restricted work activity if the employee otherwise was capable of performing all of their routine job functions.
"An employee has a repetitive motion injury to the shoulder. The treating physician does not recommend any medical restrictions. However, the physician does give the employee a cortisone injection consisting of 1 cc xylocaine plain and .5 cc of depo medrol. Is this recordable?","Yes, this is a recordable case because a prescription medication was issued."
"An employee has a work-related shoulder injury resulting in days of restricted work activity. While working on restricted duty, the employee sustains a foot injury which results in a different work restriction. How would the employer record these cases?","For purposes of OSHA recordkeeping the employer would stop the count of the days of restricted work activity due to the first case, the shoulder injury, and enter the foot injury as a new case and record the number of restricted work days. If the restriction related to the second case, the foot injury, is lifted and the employee is still subject to the restriction related to their shoulder injury, the employer must resume the count of days of restricted work activity for that case."
"An employee has an injury to his left wrist and went to the doctor and was given restrictions. The case was recorded. Now the employee, weeks later, told the doctor that the right wrist hurts and was given restrictions for that wrist. Is this considered part of the first recordable case?","Because the right wrist injury involved additional and new work related exposure, OSHA would consider these as two separate and recordable cases."
An employee has his coat hanging over a chair at work and has a chicken sandwich in the pocket. The employee reaches into the pocket to get the sandwich and receives multiple fire ant bites on his hand. Is this work-related? Company policy is to disallow food being present at work except if it is kept in a locker or other container away from the work post.,"Yes, this case is work related. You must consider an injury or illness to be work-related if an event or exposure in the work environment either caused or contributed to the resulting condition or significantly aggravated a pre-existing injury or illness. Work-relatedness is presumed for injuries and illnesses resulting from events or exposures occurring in the work environment, unless an exception in § 1904.5(b)(2) specifically applies. There is no exception for insect or animal bites or stings."
"An employee hurt his back lifting an object on Saturday. He called off Monday and Tuesday due to his back. He came to work on Wednesday, and then reported the injury. Do I need to record this as a case with days away from work?",The employee's decision does not determine the outcome for recordability. Nor is a medical opinion required in this situation. The employer must make a good faith decision as to whether the employee needed the days away from work for recuperation or not and record appropriately.
An employee hurts his or her left arm and is told by the doctor not to use the left arm for one week. The employee is able to perform all of his or her routine job functions using only the right arm (though at a slower pace and the employee is never required to use both arms to perform his or her job functions). Would this be considered restricted work?,"No. If the employee is able to perform all of his or her routine job functions (activities the employee regularly performs at least once per week), the case does not involve restricted work. Loss of productivity is not considered restricted work."
"An employee injured his back while lifting up a piece of heavy pipe. After work was over he went to see his chiropractor. The chiropractor conducted a few manipulations on the employees back, and according to our employee, he was like new. Is chiropractic care considered medical treatment beyond first aid?","Yes, chiropractic treatment is considered medical treatment for recordkeeping purposes."
An employee injured his finger. After medical treatment he completed his shift. He worked for a day and further medical referral advised him to have a surgery and rest for 9 days. How do we count the lost days? Should we count the days from the day after he had the injury or from the day of further medical referral?,You may begin counting the days away from work from the time of the surgery.
An employee is bitten on the arm by a patient and the skin is slightly broken with little bleeding present. No medical treatment (beyond first aid) was needed and the case did not involve any days away or restrictions. Is this recordable?,"This case is not recordable. While there is an exposure to potentially infectious material, it was not a needlestick or sharps injury, and it did not require medical treatment beyond first aid or the other general recording criteria."
An employee is exposed to someone diagnosed with meningitis in their work place. The employee is provided antibiotics as a prophylaxis. Is this recordable?,"No. To be recordable on the OSHA log an injury or illness must exist. Exposures without signs or symptoms of the illness are not recordable, even if medical treatment is administered."
"An employee is fatally shot by a criminal attempting to steal from the work site. The victim did not confront or interact with the criminal, he was simply shot for being in the way. Should this be recorded as a work-related fatality?","Yes, there is no exception to work relatedness for incidents involving workplace violence. The case should also reported by telephone or in person to the Area Office of the Occupational Safety and Health Administration (OSHA), U.S. Department of Labor, that is nearest to the site of the incident. You may also use the OSHA toll-free central telephone number, 1-800-321-OSHA (1-800-321-6742)."
An employee is going to their car to obtain personal paperwork during her normal working hours. While walking to her car she trips and breaks her foot. Does this constitute a work related injury since she was conducting non-work related business at the time of the injury occurring?,The case is work-related and recordable. An injury or illness is work-related if an event or exposure in the work environment either caused or contributed to the resulting condition or significantly aggravated a pre-existing injury or illness. The company parking lot is part of the work-environment. Retrieving personal property during work hours does not meet any of the exceptions to work-relatedness.
"An employee is hired from a local union hall for a short duration. If the employee suffers a lost time injury, but the job is finished days later and the employee is laid off due to a lack of work, does the employer have to continue counting the days away from work until the employee is returned to full duty status by the treating physician?",No. You may end the day count when the employee is laid off due to the end of the job.
"An employee is injured and placed on restricted work activity. He is told not to lift more than 15 lbs. If the employee is transferred to a different job because of a company wide reorganization, and the new job does not require lifting more than 15 lbs., can I stop the day count of restricted work activity?","You may stop the day count. When you permanently assign the injured or ill employee to a job that permanently eliminates the routine functions the employee was restricted from performing, you may stop the day count when the modification or change is made permanent. You must count at least one day of restricted work or job transfer for such cases."
An employee is injured on Monday; however he did not feel medical treatment was necessary. On Thursday the employee was sent to the doctor and returns to work the same day with restrictions. Is Thursday counted as the first day of restricted work activity?,Yes. You count Thursday as a day of restricted work activity because it is subsequent to the day of injury.
An employee is off the worksite for lunch and has an incident that results in injury. The employee is an hourly employee whom gets a paid lunch. Does this then become a recordable since he is on the clock when the injury occurred?,No. The case is not work-related because the employee was not within the work environment and he was not present as a condition of employment or engaged in a work activity.
"An employee is performing a work related duty, receives an injury requiring sutures to close, and is subsequently terminated for failing a post accident drug test. Is this case recordable?","Yes, this case is recordable. The injury is work related and required medical treatment. The fact that the employee failed the drug test is not considered in the decision making process."
"An employee is provided antibiotics for anthrax, although the employee does not test positive for exposure/infection. Is this a recordable event on the OSHA log?","No. A case must involve a death, injury, or illness to be recordable. A case involving an employee who does not test positive for exposure/infection would not be recordable because the employee is not injured or ill."
An employee is terminated and then the next day he turned in paperwork for a worker's compensation claim. Do I need to record this claim on the OSHA log since he was no longer on the payroll? His doctor provided a note to allow him to return to work with restrictions.,"If the illness or injury is considered to be work-related, you must record the injury or illness and estimate the number of days the employee would have been on work restriction. You would check column (I) ""Job transfer or restriction"" and estimate the number of days in Column (L)."
An employee is walking into work and collapses as a result of a heart attack. Is this a recordable case?,"If the employee has a preexisting condition (heart issues), the employer needs to make a determination on whether there was an event or exposure in the work environment that may have aggravated this illness. If it is determined the heart attack is solely the result of a non-work-related condition the case need not be recorded on the OSHA Log."
"An employee misstepped and his knee buckled. When being examined by the doctor an MRI was ordered. The MRI confirmed long term damage to the knee including bone-on-bone and cartilage damage. Would this condition meet the exception under 1904.5(b)(2)(ii) ""The injury or illness involves signs or symptoms that surface at work but result solely from a non-work-related event or exposure that occurs outside the work environment""? The employee was provided prescription medication for his knee.","If an employee has a preexisting condition the employer needs to make a determination on whether the event or exposure in the work environment aggravated this pre-existing condition to the point where it needed medical treatment that otherwise would not have been needed. If so, the case is work related and recordable."
An employee of a temp service contracted to work at my company was injured and needed some medical treatment. Am I responsible to record this injury on my company's 300 log?,"You must record the injury if you supervise the employee on a day-to-day basis.  Day-to-day supervision occurs when in addition to specifying the output, product or result to be accomplished by the person's work, the employer supervises the details, means, methods and processes by which the work is to be accomplished."
"An employee on business travel has checked into his temporary home away from home, and reported to his work location first thing in the morning. At lunch that day, the employee goes to a local restaurant to eat with a coworker. When walking to the restaurant the employee trips on a curb, falls and breaks his wrist. Is this injury required to be recorded?","This is not a work-related or recordable injury as long as the lunch is not considered a work activity directed by the employer. Normally, injuries and illnesses that occur to employees who are off the employer's premises during their lunch break is not a work-related or recordable injury."
"An employee out on 8 week maternity leave, visits the site during leave, to turn in some documents, trips and falls in the parking lot when leaving. The employee is not coming to work, is not leaving work, is not scheduled to work. There is no rule requiring the documents be turned in personally. They can be dropped off, mailed, messengered. Is this recordable?","Yes, she is on the premises in the capacity of an employee (not a member of the general public), therefore the case is considered work-related."
"An employee parked his vehicle in a shared parking lot prior to coming to work (not a ""company parking lot""). As he exited his vehicle, he tripped and was injured . Is this injury work related?","No, this injury is not work-related. A parking area where the employer does not have control (such as a parking lot outside of a building shared by different employers, or a public parking area like those found at a mall or beneath a multi-employer office building) would not be considered part of the employer's establishment, and therefore not part of the work environment."
"An employee receives an insect bite, goes to the doctor and receives a prescription medication. Is this injury a recordable?",Yes. An insect bite that occurs in the work environment is a work related injury. Treatment with a prescription medication is medical treatment which makes the case recordable.
An employee reported a foreign body in one of his eyes from the night before. He stated that he did not feel anything go into his eye during the course of the previous work day. When he got home from work he took a shower and later felt something in his eye. Is this work related?,"No. If there is no indication that an exposure took place within the work environment, you do not have to consider the case work related. Work-relatedness is presumed for injuries and illnesses resulting from events or exposures occurring in the work environment, unless an exception in 1904.5(b)(2) specifically applies. Because the injury arose outside of the work environment, the presumption does not apply."
"An employee reports an injury, but does not see a physician for a period of time (a week, for example) and continues to work during that period. Then the physician lists a work restriction. Would I count the calendar days from the day after the injury or from the date the physician started the restricted duty?",Start counting the number of calendar days for restricted work when the physician assigned the restricted work activity.
"An employee reports to his supervisor that he has been experiencing some neck pain for about 2 weeks, but did not report it because he felt he could work through it, and it would resolve itself. The employee is sent to the doctor on the day he reported the injury, and is placed on restricted duty for the remainder of that day, and can return to his regular job the next day. No medical treatment was provided. Is this case recordable?",This is a recordable case because it involved restricted work activity subsequent to the day of injury or onset of illness.
"An employee retires on June 30th. Prior to that, he had been receiving first aid for a work related injury. On July 6th, the employee's personal doctor writes the employee a prescription for the work related injury. Is this recordable?","Yes, the case should be recorded. 1904.7(b) (3) (viii) allows the employer to stop a day count when an employee retires, but it does not allow the employer to avoid recording a case that meets the recording criteria. This case is work related and required medical treatment."
An employee sees a doctor for a scratched eye that was already flushed by the on-site nurse. The doctor provides the employee with a sample bottle of prescription antibiotic eye drops. No prescription was written. Does this count as an OSHA recordable incident?,"Yes. Once the sample medication was provided to the employee, the case became recordable."
"An employee slips on ice and falls, sustaining an injury. The slip/fall occurred in the parking lot where most of our employees - as well as employees of other employers occupying the same building - use to access the workspace we lease in the building. The parking lot is NOT owned by our company, and is not under our control. Is this recordable?","No. A parking area where the employer does not have control (such as a parking lot outside of a building shared by different employers, or a public parking area like those found at a mall or beneath a multi-employer office building) would not be considered part of the employers establishment (except for the owner of the building or mall), and therefore not a company parking lot for purposes of OSHA recordkeeping. This case is not considered work-related or recordable."
An employee sprained his ankle and was told by the physician to use crutches for five days. No other treatment was provided. Is this case recordable?,"The use of crutches are not considered medical treatment beyond first aid for OSHA recordkeeping purposes. However, if the use of the crutches prevents the employee from coming to work or restricts the employee from performing their routine job functions, the case must be recorded."
"An employee states on Dec. 30th 2002 that her hand hurts. On January 3rd she goes to a doctor and is now preparing for surgery. On which year's log is the case recorded, 2002 or 2003?","Record the case on the 2002 Log. Ordinarily, the case should be recorded on the Log for the year in which the injury or illness occurred. Where the date of injury or illness cannot be determined, the date the employee reported the symptoms or received treatment must be used."
"An employee suffered a blow to the head during the scope of employment. After having been sent to the clinic for evaluation, he was given two days off from work (the date of injury and the following day) as a precaution to watch for signs of a concussion or other brain trauma. Nothing was found and the employee was returned to work full duty on the 3rd day, with a final evaluation a week later to release from medical care. Because the day off was given as precaution, does this make it a recordable day away from work case even though the employee was deemed ok and later released to full duty?",The day following the date of injury is considered a day away from work and makes the case recordable. The fact that the day away was put in place for precautionary reasons is not a consideration of whether the case is OSHA recordable.
"An employee suffered an injury on Thursday (sprained finger) and continued working. He did not report the injury until Friday morning. On Friday morning, the employee went to the doctor and came back to work with a splint and restrictions that resulted in him not being able to perform his normal job. We were able to find another job the employee could perform. Should we count Friday as a day on job transfer because the injury occurred the day before, or do we not count Friday because it was not technically a recordable injury until the employee received the splint?",Count Friday as a day of job transfer. You begin counting days on the day after the injury occurred.
An employee suffers a work-related injury and the doctor returns him to work on restricted duty with no time lost. The employer cannot accommodate the work restrictions so the employee is sent home. Do we have to record this as a days away case?,"Yes, this case needs to be recorded as ""Days away from work"" column (H). To classify a case as a restricted work activity case, the employer must have and offer restricted work activity to the injured or ill employee."
"An employee sustained a work related injury and was placed on restriction pending a follow up appointment with the physician. This employee missed his follow up appointment and is now on a personal leave of absence unrelated to his injury. Despite repeated attempts, I have been unable to contact this employee in order to reschedule his follow up appt. Am I required to continue counting restricted days on this employee while he is off?","You can stop the day count on the date of the missed follow-up appointment. If subsequent documentation indicates further time for recuperation was needed, update the original entry to reflect the new information."
An employee sustained a work related injury and was placed on restriction pending a follow-up appointment with the physician. There was no end date to the restrictions provided at the first visit. On two occasions the employee missed a scheduled follow-up visit and does not want to be seen the physician. When may I stop the day count?,"You can stop the day count on the date of the first missed follow-up appointment. If subsequent documentation indicates further time for recuperation was needed, update the original entry to reflect the new information."
"An employee sustained a work related injury and was placed on restriction. She worked for a few days with the restriction and then went on a pre-planned vacation. During her vacation, she followed up with the physician who maintained her restriction. She plans on using her vacation time and then retire for reasons not related to the injury. She may not return to work between the time her vacation ends and her retirement begins. At what point may I stop counting restricted days on this employee?",You can stop the day count on the day she retires since the retirement is unrelated to the injury.
"An employee sustained an allergic reaction to a mosquito bite and was given a steroid shot as medical treatment. Is this considered first aid treatment (and therefore not OSHA recordable), or is this considered a recordable incident?",A steroid injection is a prescription medication and is considered medical treatment. The case is recordable.
"An employee sustains a back injury in 2015. She was in continuous pain and finally had surgery 1 year later. During the surgery a nerve was damaged. Now in 2017 she had further surgery to repair the damaged nerve and will have days missed from work as a result. Is this, for record keeping purposes, considered ""days away from work"" as it was related to the botched surgery and not to the actual injury?","The days away from work required by the 2017 surgery should be added to the originally recorded case. But for the work-related injury, the employee would not have required the original surgery. The consequences of the surgery are therefore associated with the work injury."
"An employee trips in the company parking lot over a curb or parking chock at 4:35 PM after clocking out at 4:30 PM. The resultant injury requires sutures so is more than first aid. Even though the employee has suffered a recordable level injury on company property does the fact that the employee is off the clock, make this case not recordable?",Punching in or out of a time clock does not determine the outcome for work-relatedness.  This case is work-related and recordable.
"An employee walked outside our facility and was stung by a bee. She is highly allergic and sought medical treatment that resulted in treatment beyond first aid. Although she was not in the course of her job duties, would this be considered a recordable case?","Since the employee was still on the employer's premises when she walked outside, this is considered a work related a injury. The case should be recorded because she received medical treatment beyond first aid."
An employee was bitten by a tick. The employee was seen by an MD to ensure that the tick had been completely removed by the employee. The doctor gave the employee a single dose of antibiotic as a prophylaxis against Lyme disease. The employee was not ill or showing any symptoms. Is this recordable on the OSHA 300 log?,"The case is recordable. Insect and animal bites that occur within the work environment are work-related injuries. The use of the prescription antibiotic makes the case recordable. The preventive, precautionary or prophylactic nature of a medication is not controlling for OSHA recordability"
"An employee was coming to work, parked their car in the employee parking lot, got out of the car and proceeded to slip and fall (incurring an injury), prior to entering the work site. The employee was evaluated and lost time from work. Would this be a OSHA recordable injury?","Yes. A company owned parking lot is considered part of the establishment and therefore within the work environment. An injury or illness is considered work-related if an event or exposure in the work environment caused or contributed to the injury or illness or significantly aggravated a pre-existing injury or illness.  Because the injury occurred in the work environment and required days away from work, the case is recordable."
"An employee was diagnosed with a work related hernia and received an experimental surgery to repair it. The surgery failed and now requires 2 more corrective surgeries spread over a 6-month period, during which time he is unable to work. Does the employer have to record 180 days of lost time because of the surgeon's error?",Yes. The initial and subsequent surgeries are to repair the work-related hernia. All of the lost time entailed must be counted towards the case. The fact that a surgical error occurred is not considered.
